период;курс_доллара_уровень;курс_доллара_уровень_конец_месяца;курс_доллара_изменение_pct;курс_евро_уровень;курс_евро_уровень_конец_месяца;курс_евро_изменение_pct;курс_юаня_уровень;курс_юаня_уровень_конец_месяца;курс_юаня_изменение_pct;ключевая_ставка_уровень;ключевая_ставка_уровень_конец_месяца;ключевая_ставка_изменение_pct;индекс_потребительских_цен_уровень;индекс_потребительских_цен_уровень_конец_месяца;индекс_потребительских_цен_изменение_pct
2016-09;64.5572;63.1581;;72.3626;70.8823;;9.6740;9.4698;;10.2727;10.0000;;100.0000;100.0000;
2016-10;62.6200;62.9037;-3.0007;69.1254;68.6783;-4.4736;9.3130;9.2782;-3.7317;10.0000;10.0000;-2.6549;100.4300;100.4300;0.4300
2016-11;64.3137;64.9449;2.7048;69.5389;68.8416;0.5982;9.4033;9.4242;0.9694;10.0000;10.0000;0.0000;100.8719;100.8719;0.4400
2016-12;62.0913;60.6569;-3.4556;65.5193;63.8111;-5.7803;8.9712;8.7282;-4.5954;10.0000;10.0000;0.0000;101.2754;101.2754;0.4000
2017-01;59.6299;60.1618;-3.9642;63.5634;64.4333;-2.9852;8.6596;8.7423;-3.4736;10.0000;10.0000;0.0000;101.9033;101.9033;0.6200
2017-02;58.5394;57.9371;-1.8288;62.4011;61.2569;-1.8287;8.5152;8.4317;-1.6674;10.0000;10.0000;0.0000;102.1275;102.1275;0.2200
2017-03;58.0066;56.3779;-0.9100;62.0003;60.5950;-0.6422;8.4128;8.1823;-1.2021;9.9432;9.7500;-0.5682;102.2602;102.2602;0.1300
2017-04;56.4356;56.9838;-2.7083;60.4609;62.0440;-2.4829;8.1897;8.2614;-2.6517;9.7500;9.7500;-1.9429;102.5977;102.5977;0.3300
2017-05;56.9501;56.5168;0.9116;62.9553;62.9484;4.1256;8.2681;8.2439;0.9565;9.2500;9.2500;-5.1282;102.9773;102.9773;0.3700
2017-06;57.8932;59.0855;1.6560;64.9659;67.4993;3.1937;8.5015;8.7171;2.8236;9.1310;9.0000;-1.2870;103.6055;103.6055;0.6100
2017-07;59.6927;59.5436;3.1083;68.6209;69.6779;5.6261;8.8102;8.8295;3.6307;9.0000;9.0000;-1.4342;103.6780;103.6780;0.0700
2017-08;59.6127;58.7306;-0.1339;70.3716;70.2007;2.5512;8.9276;8.9080;1.3329;9.0000;9.0000;0.0000;103.1181;103.1181;-0.5400
2017-09;57.7447;58.0169;-3.1336;68.7917;68.4483;-2.2451;8.7905;8.7366;-1.5354;8.7619;8.5000;-2.6455;102.9635;102.9635;-0.1500
2017-10;57.6981;57.8716;-0.0808;67.8553;67.2179;-1.3611;8.7067;8.7063;-0.9534;8.4773;8.2500;-3.2485;103.1694;103.1694;0.2000
2017-11;58.9266;58.3311;2.1292;69.1320;69.2040;1.8815;8.8983;8.8407;2.2004;8.2500;8.2500;-2.6810;103.3964;103.3964;0.2200
2017-12;58.5739;57.6002;-0.5985;69.3379;68.8668;0.2978;8.8860;8.8450;-0.1382;8.0119;7.7500;-2.8860;103.8306;103.8306;0.4200
2018-01;56.4981;56.2914;-3.5438;69.0200;69.5424;-0.4584;8.8054;8.8756;-0.9071;7.7500;7.7500;-3.2689;104.1525;104.1525;0.3100
2018-02;56.8067;55.6717;0.5462;70.3013;68.6599;1.8563;8.9908;8.8272;2.1058;7.5921;7.5000;-2.0374;104.3712;104.3712;0.2100
2018-03;57.0636;57.2649;0.4522;70.3559;70.5618;0.0777;9.0308;9.1272;0.4446;7.4375;7.2500;-2.0364;104.6739;104.6739;0.2900
2018-04;60.7699;61.9997;6.4950;74.6485;75.2056;6.1013;9.6470;9.7895;6.8234;7.2500;7.2500;-2.5210;105.0717;105.0717;0.3800
2018-05;62.2309;62.5937;2.4042;73.5186;72.5211;-1.5136;9.7636;9.7424;1.2085;7.2500;7.2500;0.0000;105.4709;105.4709;0.3800
2018-06;62.7685;62.7565;0.8639;73.2698;72.9921;-0.3384;9.7098;9.4751;-0.5514;7.2500;7.2500;0.0000;105.9877;105.9877;0.4900
2018-07;62.8619;62.7805;0.1489;73.4467;73.2021;0.2415;9.3681;9.1973;-3.5189;7.2500;7.2500;0.0000;106.2739;106.2739;0.2700
