период;курс_доллара_уровень;курс_доллара_изменение_pct;курс_евро_уровень;курс_евро_изменение_pct;курс_юаня_уровень;курс_юаня_изменение_pct;ключевая_ставка_уровень;ключевая_ставка_изменение_pct;индекс_потребительских_цен_уровень;индекс_потребительских_цен_изменение_pct
2016-W37 (нед. с 2016-09-12);;;;;;;;;100.0000;
2016-W38 (нед. с 2016-09-19);;;;;;;;;100.0000;0.0000
2016-W39 (нед. с 2016-09-26);;;;;;;;;100.0000;0.0000
2016-W40 (нед. с 2016-10-03);;;;;;;;;100.4300;0.4300
2016-W41 (нед. с 2016-10-10);;;;;;;;;100.4300;0.0000
2016-W42 (нед. с 2016-10-17);;;;;;;;;100.4300;0.0000
2016-W43 (нед. с 2016-10-24);;;;;;;;;100.4300;0.0000
2016-W44 (нед. с 2016-10-31);;;;;;;;;100.4300;0.0000
2016-W45 (нед. с 2016-11-07);;;;;;;;;100.8719;0.4400
2016-W46 (нед. с 2016-11-14);;;;;;;;;100.8719;0.0000
2016-W47 (нед. с 2016-11-21);;;;;;;;;100.8719;0.0000
2016-W48 (нед. с 2016-11-28);;;;;;;;;100.8719;0.0000
2016-W49 (нед. с 2016-12-05);;;;;;;;;101.2754;0.4000
2016-W50 (нед. с 2016-12-12);;;;;;;;;101.2754;0.0000
2016-W51 (нед. с 2016-12-19);;;;;;;;;101.2754;0.0000
2016-W52 (нед. с 2016-12-26);;;;;;;;;101.2754;0.0000
2017-W01 (нед. с 2017-01-02);;;;;;;;;101.9033;0.6200
2017-W02 (нед. с 2017-01-09);;;;;;;;;101.9033;0.0000
2017-W03 (нед. с 2017-01-16);;;;;;;;;101.9033;0.0000
2017-W04 (нед. с 2017-01-23);;;;;;;;;101.9033;0.0000
2017-W05 (нед. с 2017-01-30);;;;;;;;;101.9033;0.0000
2017-W06 (нед. с 2017-02-06);;;;;;;;;102.1275;0.2200
2017-W07 (нед. с 2017-02-13);;;;;;;;;102.1275;0.0000
2017-W08 (нед. с 2017-02-20);;;;;;;;;102.1275;0.0000
2017-W09 (нед. с 2017-02-27);;;;;;;;;102.1275;0.0000
2017-W10 (нед. с 2017-03-06);;;;;;;;;102.2602;0.1300
2017-W11 (нед. с 2017-03-13);;;;;;;;;102.2602;0.0000
2017-W12 (нед. с 2017-03-20);;;;;;;;;102.2602;0.0000
2017-W13 (нед. с 2017-03-27);;;;;;;;;102.2602;0.0000
2017-W14 (нед. с 2017-04-03);;;;;;;;;102.5977;0.3300
2017-W15 (нед. с 2017-04-10);;;;;;;;;102.5977;0.0000
2017-W16 (нед. с 2017-04-17);;;;;;;;;102.5977;0.0000
2017-W17 (нед. с 2017-04-24);;;;;;;;;102.5977;0.0000
2017-W18 (нед. с 2017-05-01);;;;;;;;;102.9773;0.3700
2017-W19 (нед. с 2017-05-08);;;;;;;;;102.9773;0.0000
2017-W20 (нед. с 2017-05-15);;;;;;;;;102.9773;0.0000
2017-W21 (нед. с 2017-05-22);;;;;;;;;102.9773;0.0000
2017-W22 (нед. с 2017-05-29);;;;;;;;;102.9773;0.0000
2017-W23 (нед. с 2017-06-05);;;;;;;;;103.6055;0.6100
2017-W24 (нед. с 2017-06-12);;;;;;;;;103.6055;0.0000
2017-W25 (нед. с 2017-06-19);;;;;;;;;103.6055;0.0000
2017-W26 (нед. с 2017-06-26);;;;;;;;;103.6055;0.0000
2017-W27 (нед. с 2017-07-03);;;;;;;;;103.6780;0.0700
2017-W28 (нед. с 2017-07-10);;;;;;;;;103.6780;0.0000
2017-W29 (нед. с 2017-07-17);;;;;;;;;103.6780;0.0000
2017-W30 (нед. с 2017-07-24);;;;;;;;;103.6780;0.0000
2017-W31 (нед. с 2017-07-31);;;;;;;;;103.6780;0.0000
2017-W32 (нед. с 2017-08-07);;;;;;;;;103.1181;-0.5400
2017-W33 (нед. с 2017-08-14);;;;;;;;;103.1181;0.0000
2017-W34 (нед. с 2017-08-21);;;;;;;;;103.1181;0.0000
2017-W35 (нед. с 2017-08-28);;;;;;;;;103.1181;0.0000
2017-W36 (нед. с 2017-09-04);;;;;;;;;102.9635;-0.1500
2017-W37 (нед. с 2017-09-11);;;;;;;;;102.9635;0.0000
2017-W38 (нед. с 2017-09-18);;;;;;;;;102.9635;0.0000
2017-W39 (нед. с 2017-09-25);;;;;;;;;102.9635;0.0000
2017-W40 (нед. с 2017-10-02);;;;;;;;;103.1694;0.2000
2017-W41 (нед. с 2017-10-09);;;;;;;;;103.1694;0.0000
2017-W42 (нед. с 2017-10-16);;;;;;;;;103.1694;0.0000
2017-W43 (нед. с 2017-10-23);;;;;;;;;103.1694;0.0000
2017-W44 (нед. с 2017-10-30);;;;;;;;;103.1694;0.0000
2017-W45 (нед. с 2017-11-06);;;;;;;;;103.3964;0.2200
2017-W46 (нед. с 2017-11-13);;;;;;;;;103.3964;0.0000
2017-W47 (нед. с 2017-11-20);;;;;;;;;103.3964;0.0000
2017-W48 (нед. с 2017-11-27);;;;;;;;;103.3964;0.0000
2017-W49 (нед. с 2017-12-04);;;;;;;;;103.8306;0.4200
2017-W50 (нед. с 2017-12-11);;;;;;;;;103.8306;0.0000
2017-W51 (нед. с 2017-12-18);;;;;;;;;103.8306;0.0000
2017-W52 (нед. с 2017-12-25);;;;;;;;;103.8306;0.0000
2018-W01 (нед. с 2018-01-01);;;;;;;;;104.1525;0.3100
2018-W02 (нед. с 2018-01-08);;;;;;;;;104.1525;0.0000
2018-W03 (нед. с 2018-01-15);;;;;;;;;104.1525;0.0000
2018-W04 (нед. с 2018-01-22);;;;;;;;;104.1525;0.0000
2018-W05 (нед. с 2018-01-29);;;;;;;;;104.1525;0.0000
2018-W06 (нед. с 2018-02-05);;;;;;;;;104.3712;0.2100
2018-W07 (нед. с 2018-02-12);;;;;;;;;104.3712;0.0000
2018-W08 (нед. с 2018-02-19);;;;;;;;;104.3712;0.0000
2018-W09 (нед. с 2018-02-26);;;;;;;;;104.3712;0.0000
2018-W10 (нед. с 2018-03-05);;;;;;;;;104.6739;0.2900
2018-W11 (нед. с 2018-03-12);;;;;;;;;104.6739;0.0000
2018-W12 (нед. с 2018-03-19);;;;;;;;;104.6739;0.0000
2018-W13 (нед. с 2018-03-26);;;;;;;;;104.6739;0.0000
2018-W14 (нед. с 2018-04-02);;;;;;;;;105.0717;0.3800
2018-W15 (нед. с 2018-04-09);;;;;;;;;105.0717;0.0000
2018-W16 (нед. с 2018-04-16);;;;;;;;;105.0717;0.0000
2018-W17 (нед. с 2018-04-23);;;;;;;;;105.0717;0.0000
2018-W18 (нед. с 2018-04-30);;;;;;;;;105.0717;0.0000
2018-W19 (нед. с 2018-05-07);;;;;;;;;105.4709;0.3800
2018-W20 (нед. с 2018-05-14);;;;;;;;;105.4709;0.0000
2018-W21 (нед. с 2018-05-21);;;;;;;;;105.4709;0.0000
2018-W22 (нед. с 2018-05-28);;;;;;;;;105.4709;0.0000
2018-W23 (нед. с 2018-06-04);;;;;;;;;105.9877;0.4900
2018-W24 (нед. с 2018-06-11);;;;;;;;;105.9877;0.0000
2018-W25 (нед. с 2018-06-18);;;;;;;;;105.9877;0.0000
2018-W26 (нед. с 2018-06-25);;;;;;;;;105.9877;0.0000
2018-W27 (нед. с 2018-07-02);;;;;;;;;106.2739;0.2700
2018-W28 (нед. с 2018-07-09);;;;;;;;;106.2739;0.0000
2018-W29 (нед. с 2018-07-16);;;;;;;;;106.2739;0.0000
2018-W30 (нед. с 2018-07-23);;;;;;;;;106.2739;0.0000
2018-W31 (нед. с 2018-07-30);;;;;;;;;106.2739;0.0000
